file_name,title,presenter,presenters,abstract,datetime,location,session_key,session_date,source_url,speaker_count
a-community-effort-publishing-guidelines-for-indigenous-data-sovereignty-and-care-principl-0c338cb9.md,A Community Effort: Publishing Guidelines for Indigenous Data Sovereignty and CARE Principle,Lydia Jennings,Lydia Jennings,"The CARE Principles for Indigenous Data Governance are increasingly referenced across the research and data ecosystem, yet their application remains uneven and inconsistently practiced throughout the data lifecycle. As data creation, curation, sharing, and reuse expand through open science initiatives, the need for coherent, implementable standards that uphold Indigenous rights and interests has become urgent. In response, an Indigenous-led, international effort has convened scholars, publishers, editors, and metadata experts to develop practical guidance for operationalizing Indigenous Data Sovereignty and the CARE Principles within scholarly publishing.
This initiative—led by the Collaboratory for Indigenous Data Governance, ENRICH, and Te Kotahi Research Institute—has partnered with the American Geophysical Union (AGU) Publications and Open Science Leadership teams and the National Information Standards Organization (NISO) to co-design publishing guidelines that support the ethical governance of Indigenous data. Together, collaborators examined gaps in current editorial and metadata practices, identified points of intervention across the research and publication workflow, and articulated responsibilities for publishers, editors, authors, and reviewers.
Here, we introduce the newly developed CARE Publishing Guidelines, which offer a hierarchical framework of implementation strategies tailored to diverse publishing contexts. The guidelines provide clear, actionable steps for integrating Indigenous rights and interests into manuscript submission, review, curation, and dissemination processes. We also highlight endorsements from major publishers and outline next steps for adoption and evaluation. These guidelines aim to support Indigenous scholars and communities in navigating the publishing landscape while ensuring that Indigenous data are protected, governed, and shared with purpose, authority, and intention.","Wednesday, Apr 15, 2026 4:05 PM - 4:25 PM MST",Ballroom E Teeka,0C338CB9-9E24-11D3-7C65-2E58BD438CB2,"Wednesday, Apr 15, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C338CB9-9E24-11D3-7C65-2E58BD438CB2&session_date=Wednesday%2C%20Apr%2015%2C%202026,1
a-discussion-on-governing-data-via-tribal-institutional-review-boards-0c3393ab.md,A Discussion on Governing Data via Tribal Institutional Review Boards,Bobby Saunkeah; Lauren W. Yowelunh McLester-Davis; Amanda Urbina Hunter; Debra Danforth; Julie Beans,Bobby Saunkeah; Lauren W. Yowelunh McLester-Davis; Amanda Urbina Hunter; Debra Danforth; Julie Beans,"In this Roundtable discussion, Indigenous presenters will discuss different ways they have experienced review of research by Tribal Nations. A brief review of Tribal Institutional Review Boards (IRBs) and other mechanisms Tribes govern reviewing research will be provided for attendees. Indigenous researchers supporting creation of Tribal IRBs will highlight lessons learned. Indigenous participants will be able to ask Tribal leaders about their roles in approving research, their process and infrastructure, their recommendations, and their concerns regarding governing research data.","Thursday, Apr 16, 2026 3:45 PM - 4:45 PM MST",Junior Ballroom H Kawi,0C3393AB-E0E5-1EB2-C7FE-1E295526B08B,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C3393AB-E0E5-1EB2-C7FE-1E295526B08B&session_date=Thursday%2C%20Apr%2016%2C%202026,5
advancing-data-sovereignty-within-an-evaluation-of-educational-opportunity-gaps-for-native-0c33aba6.md,Advancing Data Sovereignty within an Evaluation of Educational Opportunity Gaps for Native Hawaiian and Pacific Islander Youth,Max Halvorson; Santino Camacho; Jenn Nguyen,Max Halvorson; Santino Camacho; Jenn Nguyen,"Public schools in the United States often fall short of meeting Indigenous students’ needs. Educational leaders, however, may seek to enhance these services and address these opportunity gaps, operating within the constraints of a large, federally- and state-funded system. These systems do not always provide Indigenous communities with ownership and full control over the use of data, yet it is still imperative to apply data sovereignty principles to the research process. By applying principles of community-engaged research, Indigenist research, and a mixed methods approach, progress can be made toward prioritizing Collective Benefit, Responsibility, and Ethics, even when Authority to Control is not fully implemented. 
Our study applied these principles to a state-funded examination of educational opportunity gaps for Native Hawaiian and Pacific Islander (NH/PI) youth in the state of Washington. The study team, led by and comprised primarily of NH/PI researchers, began study development by engaging a Community Advisory Board of educational and community leaders from the Washington NH/PI community. The Community Advisory Board weighed in on our work at regular intervals and helped us to craft our final report and recommendations. A mixed methods approach placed qualitative data on equal footing with quantitative data, allowing NH/PI youth and educators to share their voices and stories directly. 
In our talk, we will reflect on challenges and lessons learned from our community-engaged research process, share quantitative and qualitative results of our study, and seek guidance from colleagues on continuing to place community needs first in disseminating our study results.","Wednesday, Apr 15, 2026 2:30 PM - 3:00 PM MST",Junior Ballroom G Seewa,0C33ABA6-C3F8-24E0-B833-484682B93AF6,"Wednesday, Apr 15, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33ABA6-C3F8-24E0-B833-484682B93AF6&session_date=Wednesday%2C%20Apr%2015%2C%202026,3
advancing-tribal-data-sovereignty-through-analytic-data-integration-and-data-science-workf-0c33b543.md,Advancing Tribal Data Sovereignty through Analytic Data Integration and Data Science Workflows for Small-Area Health Estimation,Emily Peterson; Pamela Gutman,Emily Peterson; Pamela Gutman,"Tribal Nations often lack accurate, granular, and comprehensive information on the true burden of
health indicators across diverse American Indian/Alaska Native (AI/AN) population structures
needed for different use cases. Racial misclassification in state health records is 30% higher for
the AI/AN population compared to other race groups due to higher proportions of multi-ethnic
persons within AI/AN populations. Limitations in data accuracy and coverage result in distorted estimates of the total burden to AI/AN populations. Importantly, official health and mortality statistics used for monitoring and surveillance do not comprehensively or accurately enumerate diverse AI/AN populations defined by community definitions, i.e., (1) self-identification/affiliation with the AI/AN racial classification based on the U.S. Census racial categories, (2) Tribal citizenship with a Tribal, and (3) residence on Tribal lands. Through a collaboration between Cherokee Nation Public Health and Emory University, we address these critical gaps through the development of customizable model-based data integration approaches to produce comprehensive and accurate small-area assessments for Tribal populations fusing information from state and Tribal data sources. We translate model-based approaches to usable and sustainable data science surveillance tools designed to empower local Tribal health departments in self-surveillance and management and to uphold Tribal authority not only over data but also over the surveillance systems themselves. This work serves as a critical step toward the development of a scalable and generalizable framework for Tribal Nations to generate accurate and actionable health estimates. Tribal-led decision-making at every stage of construction ensures adherence to Tribal principles of self-determination and collective benefit.","Wednesday, Apr 15, 2026 12:05 PM - 12:25 PM MST",Ballroom E Teeka,0C33B543-CA53-5308-E616-3FDF98326929,"Wednesday, Apr 15, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33B543-CA53-5308-E616-3FDF98326929&session_date=Wednesday%2C%20Apr%2015%2C%202026,2
anishinaabe-data-sovereignty-and-governance-at-work-in-three-fires-homelands-0c33bd3a.md,Anishinaabe Data Sovereignty and Governance at Work in Three Fires Homelands,Kehli Henry; Melissa Isaac,Kehli Henry; Melissa Isaac,"We will share strategies, successes and lessons learned around Tribal data sovereignty (TDS) and governance (TDG) happening in the homelands of the Three Fires Confederacy of Ojibwe, Odawa and Bodewadomi which share geography with what is now Michigan. Telling our own stories and countering inaccurate/damaging narratives about our communities is a fundamental way we can exercise TDS and TDG. The Confederation of Michigan Tribal Education Directors and Indigenous Education Initiative have developed a bundle of Anishinaabe-Made Learning Resources including Essential Understandings for Michigan, which are fundamental to understanding Anishinaabek People’s ways of knowing and being. The aim of this collaboration is to “truthfully cultivate the stories—past, present, and future—of Tribal Nations and Indigenous Communities that live, work, and share geography with the State of Michigan, and invite as many educators and their allies as possible into the work of indigenizing learning experiences for all students.” While statewide efforts are crucial, new strategies within Tribal nations are foundational in building TDS and TDG. The Saginaw Chippewa Indian Tribe of Michigan (SCIT) has been engaging in this work intensively since 2016 including establishment of a Data Governance Board, research ordinance, and current research initiative to identify community defined and valued practices for decision-making and program development rooted in Anishinaabe values. SCIT is also developing plans to grow infrastructure to support community led research, evaluation and data efforts into the future. We hope our roundtable will lead to meaningful discussion and connections with nations and communities across Turtle Island and beyond.","Thursday, Apr 16, 2026 2:30 PM - 3:30 PM MST",Junior Ballroom J Heeka,0C33BD3A-B678-CDAD-B2A0-926EE121689D,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33BD3A-B678-CDAD-B2A0-926EE121689D&session_date=Thursday%2C%20Apr%2016%2C%202026,2
are-we-telling-stories-in-a-good-way-transforming-interdisciplinary-research-through-care-0c33c528.md,Are we telling stories in a good way? Transforming interdisciplinary research through CARE,Kimberly Marion Suiseeya; Eric Greenlee; Josiah Hester,Kimberly Marion Suiseeya; Eric Greenlee; Josiah Hester,"As global grand challenges like climate change and biodiversity loss have grown more pressing, so too have the interdisciplinary environmental research endeavors seeking to understand and address these problems. At the same time, policymakers and scientists increasingly acknowledge the contributions that Indigenous Peoples make in global environmental governance and have begun recognizing a broader societal reliance on Indigenous stewardship. Indigenous-stewarded lands hold more than 85% of the world’s remaining linguistic diversity, biodiversity, and lithium reserves. Yet science and research remain primarily extractive and colonial enterprises that largely fail to reciprocate benefits with these Indigenous communities. In this paper, we describe our approach to attempt to transform environmental research from an interdisciplinary to transdisciplinary practice by integrating and operationalizing commitments to Indigenous data sovereignty and governance, and applying CARE principles throughout our work. Drawing on more than five years of collaboration with Native Nations through the STRONG Manoomin Collective, we assess the challenges, opportunities, progress, and risks of this work to consider the limits of the CARE framework within our team, between our academic institutions and Indigenous partners, and among the broader research community. For research and researchers to truly transform and “tell stories in a good way,” we argue for a much broader effort within the academy to drive change from the ground up.","Wednesday, Apr 15, 2026 3:45 PM - 4:15 PM MST",Junior Ballroom G Seewa,0C33C528-FA93-FB37-8801-7A4F792FF832,"Wednesday, Apr 15, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33C528-FA93-FB37-8801-7A4F792FF832&session_date=Wednesday%2C%20Apr%2015%2C%202026,3
asserting-cultural-sovereignty-in-academia-why-indigenous-leadership-matters-0c33cfe8.md,Asserting Cultural Sovereignty in Academia: Why Indigenous Leadership Matters,Alexander Soto; Vina Begay; Jacob Moore,Alexander Soto; Vina Begay; Jacob Moore,"Asserting Cultural Sovereignty in Academia: Why Indigenous Leadership Matters (Day 1)
The Protocols of Native American Archival Materials (PNAAM) have challenged non-Indigenous libraries and archival repositories to re-examine internal archival practices towards ethical stewardship of Indigenous information. Despite good intentions, many lack Indigenous leadership in-and-out of their libraries, yet alone Indigenous staff, and many do not have sustained local and regional relationships with Tribal communities. In this presentation, an Indigenous Library Director, Indigenous Archivist and a Vice President and Special Advisor to the President on American Indian Affairs at Arizona State University (ASU) will highlight their collaborative efforts to cultivate meaningful relationships between Tribes and western institutions in order to support cultural sovereignty. In their roundtable discussions, they will highlight how their collaborative efforts have made Indigenous Data Sovereignty (IDSov) tangible for Tribal Nations through their operationalizing of PNAAM at ASU Library. Presenters will emphasize: 1) Indigenous Information professionals must be in critical decision-making positions if an organization seeks to develop a culturally responsive service model that supports PNAAM and IDSov; and 2) Native academic executive leaders can best foster and advance institutional-to-government relationships that support Indigenous Data Governance. 
Primary presenters: Alexander Soto, Director, Labriola National American Indian Data Center - Arizona State University; Vina Begay, Assistant Librarian, Labriola National American Indian Data Center - Arizona State University; Jacob Moore, Vice President and Special Advisor to the President on American Indian Affairs, Arizona State University","Wednesday, Apr 15, 2026 2:30 PM - 3:30 PM MST",Junior Ballroom J Heeka,0C33CFE8-EE14-EDB4-B640-B82A15D03CDD,"Wednesday, Apr 15, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33CFE8-EE14-EDB4-B640-B82A15D03CDD&session_date=Wednesday%2C%20Apr%2015%2C%202026,3
assessing-the-persistence-and-ecological-effects-of-an-engineered-autotroph-on-an-agricult-0c33ee81.md,Assessing the persistence and ecological effects of an engineered autotroph on an agricultural soil microbiome,Angely Vargas,Angely Vargas,"Synthetic biology has the potential to sustainably address global environmental challenges. Genetically engineered microbes (GEMs) show promise, however, there is limited research on their environmental effects, especially in agriculture. One way to prevent the unwanted spread of GEMs in the environment is engineered auxotrophy, where a microbe has an engineered reliance upon an externally-produced nonstandard amino acid (nsAA). We are studying the environmental effects of an engineered auxotrophic pair in agricultural soil with an engineered plant that produces a non-standard amino acid (nsAA) required by an engineered microbe (GEM) to survive. To test this, we harvested live agricultural soil from the O'Donohue Family Educational Farm at Stanford University. We created five treatment groups with and without the GEM, wild-type microbe, and nsAA with four replicates each. 500 µL of treatment was inoculated per replicate in 50 mL tubes. After three days, DNA was extracted, followed by a PCR of the engineered synthetase and 16S sequencing. We found that the GEM persisted in agricultural soil regardless of the nsAA and that the biocontainment system was not effective. The 16S sequencing indicated that the GEM significantly reduced the soil’s microbial biodiversity. These findings demonstrate a need for further research on the persistence and effects of GEMs in the environment and particularly in agricultural settings. We strongly suggest that, to be ethical and responsible, further research on these environmental effects should be interdisciplinary and center the expertise of ecologists, farmers, and the communities that could be most affected by these potential environmental injustices.","Wednesday, Apr 15, 2026 5:40 PM - 6:00 PM MST",Ballroom E Teeka,0C33EE81-0251-B519-39D4-E2877CF1DA9A,"Wednesday, Apr 15, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33EE81-0251-B519-39D4-E2877CF1DA9A&session_date=Wednesday%2C%20Apr%2015%2C%202026,1
beyond-borders-undrip-as-a-complement-to-tribal-jurisdiction-in-the-governance-of-research-0c33f803.md,Beyond Borders: UNDRIP as a Complement to Tribal Jurisdiction in the Governance of Research with Indigenous Peoples in the US,Ibrahim Garba; Rebecca Plevel; Marisella Molina; Stephanie Carroll,Ibrahim Garba; Rebecca Plevel; Marisella Molina; Stephanie Carroll,"Tribes sharing geography with the United States (US) have adopted laws and policies to ensure that research on their territories and with their citizens is ethical and aligned with community priorities. However, these exercises of sovereignty are often hampered in their enforcement beyond Tribal territorial boundaries imposed by US settler policies and maintained by operation of Federal Indian Law (FIL) – a body of legal doctrines developed over two centuries through Congressional acts, Executive actions, and US Supreme Court decisions. In their laws and policies governing research, Tribes have addressed these barriers in various ways but governance infrastructure to make Tribal requirements effective among researchers and institutions beyond FIL-based territorial jurisdiction is often lacking. 
The United Nations Declaration on the Rights of Indigenous Peoples (UNDRIP) (2007; US signed in 2010) is an international legal document that specifies rights and obligations for both Tribes and national governments for advancing Indigenous self-determination. Although declarations are not binding like treaties, signatories take on good faith obligations such as not contradicting the intent of a declaration through official action. This complementary approach offers a model for research governance that could mitigate the effects of FIL on Tribal sovereignty. Grounded in a project analyzing research governance documents from 20+ Tribes, our presentation will use examples to center strategies Tribes have adopted to assert sovereignty over their research data beyond FIL-based territorial jurisdiction. The presentation will also use UNDRIP-based principles to explore how effectively Indigenous research policies at two mainstream research institutions implement Indigenous self-determination.","Wednesday, Apr 15, 2026 3:00 PM - 3:30 PM MST",Junior Ballroom F Huya,0C33F803-C463-F40F-3F42-6AB25B946A43,"Wednesday, Apr 15, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33F803-C463-F40F-3F42-6AB25B946A43&session_date=Wednesday%2C%20Apr%2015%2C%202026,4
bridging-science-and-indigenous-knowledge-a-community-owned-platform-for-indigenous-enviro-0c340b3c.md,Bridging Science and Indigenous Knowledge: A Community-Owned Platform for Indigenous Environmental Data Sovereignty,Khalid Lemzouji,Khalid Lemzouji,"Indigenous communities increasingly face challenges in ensuring environmental data is trustworthy, culturally meaningful, and under community control. This presentation introduces an Indigenous-led, open-source platform co-designed and governed by the Fort McKay Métis Nation for their community-based environmental monitoring. By integrating Western scientific monitoring (air, water, wildlife) with Indigenous knowledge — including land-based observations, storytelling, and Elder guidance — the platform exemplifies the CARE Principles for Indigenous Data Governance:
Collective Benefit: Data directly informs community decision-making, supports youth education, and enhances environmental awareness.
Authority to Control: FMMN maintains full governance over platform access, use, and interpretation of all collected data.
Responsibility: Automated workflows and statistical analyses ensure traceable, verifiable, and transparent insights.
Ethics: Integration of Indigenous knowledge ensures monitoring is culturally grounded and respects community values.
Interactive visualizations and an AI chatbot allow community members to explore, query, and validate findings, transforming complex data into accessible, actionable information. The platform demonstrates a practical model for community-controlled environmental monitoring, bridging Indigenous knowledge and Western science to enhance self-determination, environmental accountability, and trust.
By centering Indigenous governance and data sovereignty, this approach advances Indigenous-led solutions for environmental stewardship and decision-making, providing a replicable model for other communities seeking to manage and govern their own data while combating misinformation and supporting cultural continuity.","Wednesday, Apr 15, 2026 11:45 AM - 12:05 PM MST",Ballroom E Teeka,0C340B3C-CCB2-03EC-90A3-9CE6246260C3,"Wednesday, Apr 15, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C340B3C-CCB2-03EC-90A3-9CE6246260C3&session_date=Wednesday%2C%20Apr%2015%2C%202026,1
canceled-100-years-later-pueblo-of-isleta-and-the-misuse-of-cultural-information-0c338158.md,(CANCELED) 100 years later: Pueblo of Isleta and the misuse of cultural information,Felicia Bartley,Felicia Bartley,"The Pueblo of Isleta is no stranger to cultural data extraction and misuse. In the 1920s we first began our asymmetrical relationship with Elsie Clews Parsons, who, postmortem, divulged sacred information at the later cost of an individual tribal member’s status. 100 years later, we are still haunted by this deeply harmful research methodology. The Pueblo of Isleta shares a contemporary experience regarding the misuse of our cultural data at the hands of a non-Native person. This experience demonstrates the benefits and risks of developing archives that contain culturally sensitive information. The talk will outline the types of misuse, how it took place, signs and practices of this behavior, and what we have identified to prevent this misuse. The discussion regards how the Pueblo of Isleta uses our archives to guide our decision making and strengthen our self-determination through the way we govern and provide access to our data, how it has been misused by internal staff, and how we are building infrastructure to maintain our cultural integrity. The themes of this discussion regard: Data for Governance, Governance of Data, and Infrastructure.","Thursday, Apr 16, 2026 6:00 PM - 6:00 PM MST",,0C338158-EC2F-B760-852D-8663CE31F307,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C338158-EC2F-B760-852D-8663CE31F307&session_date=Thursday%2C%20Apr%2016%2C%202026,1
canceled-a-kaupapa-maori-critique-of-maori-food-and-nutrition-data-in-aotearoa-new-zealand-0c33a397.md,"(CANCELED) A kaupapa Maori Critique of Maori Food and Nutrition Data in Aotearoa, New Zealand.",Hannah Rapata,Hannah Rapata,"Background Maori food and nutrition data collected through national health surveys in Aotearoa New Zealand inform policy decisions, resource allocation, and public health responses. However, these data systems are largely shaped by colonial research paradigms that marginalize Maori knowledge and restrict Maori authority over data concerning their wellbeing. This presentation introduces the concepts of Maori Nutrition Data Sovereignty (MNDS) and Maori Nutrition Data Governance (MNDG), and presents findings from a doctoral research project that developed and applied a new analytical framework to critically assess six major national health surveys containing Maori food and nutrition data. Methods The analysis examined survey governance structures, data collection methods, variable selection, and reporting practices through the lens of MNDS and MNDG principles. A Kaupapa Maori analytical framework was developed, grounded in Maori data sovereignty principles articulated by Te Mana Raraunga. This framework was used to review six national health surveys for alignment with MNDS and MNDG criteria. Publicly available survey documents, methodology reports, and results were analysed to determine the extent to which each survey supported Maori data sovereignty and governance. Results All six national health surveys scored poorly in relation to MNDS and MNDG. The findings highlight significant gaps in culturally grounded and self-determining data practices, with limited Maori decision making authority and persistent use of deficit based narratives in the portrayal of Maori nutrition. These shortcomings contribute to ongoing nutritional health inequities and reinforce colonial data structures.","Thursday, Apr 16, 2026 6:00 PM - 6:00 PM MST",,0C33A397-9360-9E57-3BD1-C94E7842D431,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33A397-9360-9E57-3BD1-C94E7842D431&session_date=Thursday%2C%20Apr%2016%2C%202026,1
canceled-assessing-the-implementation-of-indigenous-data-sovereignty-the-g-ams-systems-and-0c33d954.md,(CANCELED) Assessing the Implementation of Indigenous Data Sovereignty: The G-AMS Systems and Implementation Quality Assessment Tool,Blaine Wolfe,Blaine Wolfe,"The Canadian Institute for Health Information(CIHI) is the largest depository of secondary health information in Canada. CIHI has halted access to Indigenous data for researchers, recognizing that research involving Indigenous data requires an active relationship with the Indigenous community from which the data originated, as well as the ability for researchers to incorporate IDSov principles into their methodologies. The goal of this project was to provide a pragmatic way for CIHI to release Indigenous data to researchers, provided they respect the rights of First Nations, Inuit, and Métis communities to their Indigenous data sovereignty. The G-AMS Systems and Implementation Quality Assessment Tool measures researchers' adherence to IDSov by asking specific questions around Governance, Access, Management, and Storage of Indigenous Data, core considerations when implementing principles like CARE and OCAP(r). Come and learn how this tool assesses the implementation of Data Sovereignty, provides essential information to Indigenous communities on how their data rights are respected, and how decision-makers can release Indigenous data for Quality Improvement and Systemic Change, while honouring Indigenous rights to sovereignty over the stories and data about them","Thursday, Apr 16, 2026 6:00 PM - 6:00 PM MST",,0C33D954-AE3F-C762-D8B2-3425224F3425,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C33D954-AE3F-C762-D8B2-3425224F3425&session_date=Thursday%2C%20Apr%2016%2C%202026,1
canceled-big-cyberinfrastructure-for-indigenous-data-sovereignty-and-governance-0c34035f.md,(CANCELED) Big Cyberinfrastructure for Indigenous Data Sovereignty and Governance,Joseph Gum,Joseph Gum,"Big cyberinfrastructure in the context of this session is institutional, tribal, international and similar processes to provide digital services for indigenous data sovereignty and governance. This includes physical systems such as computers, data centers, and energy sources and software for cloud computing, research data management systems, and preprint servers among others. What services exist for indigenous peoples today, or should exist? What would your community like to build? This roundtable seeks to bring people together to discuss experiences and wishes for big cyberinfrastructure.","Thursday, Apr 16, 2026 6:00 PM - 6:00 PM MST",,0C34035F-AB59-3E4C-7B37-18835746D418,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C34035F-AB59-3E4C-7B37-18835746D418&session_date=Thursday%2C%20Apr%2016%2C%202026,1
canceled-co-creating-a-data-sovereignty-platform-called-guardian-connector-with-global-sou-0c341c75.md,(CANCELED) Co-creating a data sovereignty platform called Guardian Connector with global south Indigenous community organizations,Rudo Kemper,Rudo Kemper,"Together with a number of Indigenous community organizations across the global south, technical partners, and the US-based foundation Nia Tero, Conservation Metrics is co-creating Guardian Connector, a free and open-source platform that is designed to enable organizations to securely centralize, manage, and interpret their environmental and cultural data on infrastructure they own and control. It integrates with widely used data collection tools — including KoboToolbox, ODK, CoMapeo, Superset, Terrastories, and Timelapse — while providing a flexible, interoperable, extensible but secure architecture to accommodate diverse and evolving needs. In this presentation, I would like to share how we are trying to ground Guardian Connector in principles of data sovereignty, how it is being used by Indigenous community organizations in the Solomon Islands, Brazil, Kenya, Suriname, and Guyana, and in general, how we are trying to better understand what digital infrastructure for Indigenous data should look like. This presentation will relate to Day 1 Theme 2: Authority to Control (and also Day 2 Theme 4: Infrastructure, although that day is open to Indigenous participants only).","Thursday, Apr 16, 2026 6:00 PM - 6:00 PM MST",,0C341C75-B6A6-5E36-6E78-AD5F6082AE5C,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C341C75-B6A6-5E36-6E78-AD5F6082AE5C&session_date=Thursday%2C%20Apr%2016%2C%202026,1
canceled-data-rescue-and-resiliency-for-indigenous-data-0c344ce1.md,(CANCELED) Data Rescue and Resiliency for Indigenous Data,Joseph Gum,Joseph Gum,"There have been many initiatives for data rescue in the US as the federal government cuts staff and funding for many services. While much focus has been on health, climate, and social justice datasets, there's little said about potential or actual loss of indigenous data. This presentation will focus on the Repository Crisis Scorecards, a tool for assessing risks to a repository that could lead to data loss, and how to judge risks to where data is stored, indigenous or not.","Thursday, Apr 16, 2026 6:00 PM - 6:00 PM MST",,0C344CE1-AA6B-E9D8-E4D4-9FE5D393412F,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C344CE1-AA6B-E9D8-E4D4-9FE5D393412F&session_date=Thursday%2C%20Apr%2016%2C%202026,1
canceled-he-ara-rautaki-developing-maori-data-governance-within-a-wananga-setting-0c350a3f.md,(CANCELED) He Ara Rautaki: Developing Maori Data Governance within a Wananga Setting,Hannah Rapata,Hannah Rapata,"This presentation explores the theory and practice behind developing a Maori data governance strategy within a wananga setting in Aotearoa New Zealand. Wananga, are Indigenous tertiary education and research institutions, and are uniquely positioned to lead in the advancement of Indigenous data sovereignty and governance in Aotearoa New Zealand. Drawing on work being done at Te Wananga o Aotearoa, the country’s largest Indigenous tertiary institution, we examine how Indigenous data governance practices are being developed and implemented in ways that are deeply embedded in Indigenous values and responsive to the aspirations of Maori communities. Unlike Western universities, wananga are strongly connected to Maori communities and grounded in Indigenous values. This enables culturally informed approaches to data governance that prioritize Maori sovereignties. We outline how Te Wananga o Aotearoa is working to support Maori data governance not only within its own institutional structures but also through collaborative research relationships and projects with universities and other community entities. We present that wananga offer a transformative approach for Indigenous data governance - one that centres Indigenous values, supports community-led decision-making, and resists the extractive tendencies of mainstream research institutions. By sharing insights from this re-search project, we contribute to broader conversations about Indigenous data sovereignty and governance and offer a vision for how Indigenous educational and research institutions can lead the way in reclaiming data for collective wellbeing and self-determination.","Thursday, Apr 16, 2026 6:00 PM - 6:00 PM MST",,0C350A3F-F978-778D-403E-BD3449EDF3CD,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C350A3F-F978-778D-403E-BD3449EDF3CD&session_date=Thursday%2C%20Apr%2016%2C%202026,1
canceled-intellectual-property-genetic-resources-and-associated-traditional-knowledge-a-pr-0c35679b.md,"(CANCELED) Intellectual Property, Genetic Resources, and Associated Traditional Knowledge: A Primer on Protecting Intellectual Property Rights",Kayla Davis; Blake Chancellor,Kayla Davis; Blake Chancellor,"In recent years, the international community has made considerable progress in providing protection for genetic resources and Traditional Knowledge (TK) kept or developed by Indigenous communities. From the Convention on Biological Diversity, the Nagoya Protocol, and the Cartagena Protocol, to the 2024 World Intellectual Property Organization Treaty on Intellectual Property, the international Indigenous community has stronger protection for intellectual property and data sovereignty than ever before. Those protections, however, have not been extended to Tribal Nations and Indigenous communities in the United States. While the United States lags behind the rest of the world in efforts to protect intellectual property for Indigenous communities, it is important that Indigenous communities and Tribal Nations take affirmative steps to protect their intellectual property rights by using the same tools available to any other inventor in the United States through the United States Patent and Trademark Office. This presentation will address the role of the United States patent system in protecting Indigenous intellectual property, including genetic resources and TK. Specifically, this presentation will cover patent subject matter eligibility, with special attention to the eligibility of genetic resources and associated TK for patent protection; the novelty requirement; the non-obviousness requirement; and the requirement for adequate written description and enabling disclosure, in United States patent law. Finally, this presentation will address non-patent tools for protecting genetic resources and associated TK, including licensing agreements and trade secrets.","Thursday, Apr 16, 2026 6:00 PM - 6:00 PM MST",,0C35679B-B744-271F-DBDF-A54B38ABE306,"Thursday, Apr 16, 2026",https://s2.goeshow.com/usidsn/summit/2026/conference_program_sessions.cfm?session_key=0C35679B-B744-271F-DBDF-A54B38ABE306&session_date=Thursday%2C%20Apr%2016%2C%202026,2
